"","V1","V2"
"NA18500",-0.297280341870539,0.0980839790729485
"NA18501",-0.339886111416727,0.0806103926684581
"NA18502",-0.287014369137147,0.122253795019538
"NA18503",-0.0376924368093272,0.0820294960413477
"NA18504",0.0153939217017934,0.0927240176499487
"NA18505",-0.0971062503908499,0.0678668827320748
"NA18506",0.0891965237200392,0.0105181691035648
"NA18507",0.0883027557080255,0.0366516587682139
"NA18508",0.09394168145078,-0.0196525464778648
"NA18515",0.0085880835881817,-0.0808161745521531
"NA18516",-0.027968429143242,-0.0395632428348301
"NA18517",0.0499938382524255,-0.125206098425602
"NA18521",0.133705429717682,0.129054025632111
"NA18522",0.266606481218599,0.0924681264681358
"NA18523",0.0129112443062161,0.174370282800823
"NA18852",0.066342697644559,0.00408903526586284
"NA18853",-0.0464760057000845,-0.034039642205988
"NA18854",0.012174238210711,-0.0163267492450868
"NA18855",0.123532029348084,-0.186986918515792
"NA18856",-0.0951791759696703,0.0352540245086217
"NA18857",0.0135905774816638,-0.0708250781725983
"NA18858",-0.00635225834691736,0.177371583923231
"NA18859",0.144590570776064,0.0581902314039285
"NA18860",0.0663696430246922,0.115344265236414
"NA18861",0.0838006303768152,-0.0667482885673203
"NA18862",-0.0482686401407931,0.0442293679294629
"NA18863",0.0161139385507244,-0.00928388612369054
"NA18870",-0.0456097387792858,0.214817014752176
"NA18871",0.183026089742485,0.0835933739597043
"NA18872",0.0681290751799867,0.141104622312411
"NA18912",0.00834864570437975,0.0403686733481988
"NA18913",-0.0819707598991951,0.0387050181452958
"NA18914",-0.0485076769807831,0.0458052718537729
"NA19092",-0.014078440900434,-0.252383662692309
"NA19093",-0.0107930333442053,-0.208012376610169
"NA19094",-0.0285547413128441,-0.448231287543213
"NA19098",0.0793987637725714,-0.0718902004028834
"NA19099",0.279215214965648,-0.0787467613783775
"NA19100",0.174324356291987,-0.0719716021282001
"NA19101",-0.0364067071473188,-0.443029542747756
"NA19102",0.243553299794347,0.0932372419610283
"NA19103",0.103556574608601,-0.173420699381225
"NA19116",0.0504795664133386,0.097898268652806
"NA19119",0.035990133556963,0.00519575328964891
"NA19120",0.0436226312788089,0.0498012252524739
"NA19127",-0.0305995825317787,-0.268609243713135
"NA19128",0.12482605083391,-0.112529029470376
"NA19129",0.0448542701844648,-0.185037313965996
"NA19130",-0.0429414825762875,-0.0981817526194776
"NA19131",0.12732504870054,0.198648134885827
"NA19132",0.0394619545677945,0.0491566410023217
"NA19137",-0.0149438116654353,-0.135209760672937
"NA19138",-0.0616794206058126,-0.0804722881491757
"NA19139",-0.0400701407045702,-0.105099948201277
"NA19140",-0.0328277469974737,-0.0350575401031955
"NA19141",-0.237424149146735,-0.205760407054364
"NA19142",-0.130588950125624,-0.117758444890875
"NA19143",-0.0798847841124078,-0.066279357508515
"NA19144",-0.131496974639628,0.0509704054858576
"NA19145",-0.104051499063189,-0.00309423760787015
"NA19152",-0.195516677221735,-0.103124293700083
"NA19153",0.0997035988277229,0.14325331718685
"NA19154",-0.0459833473296255,0.0137033208718736
"NA19159",0.115901231932654,0.0200856859445934
"NA19160",0.019162003194357,0.00644768191105293
"NA19161",0.0656279793626636,0.011976749974643
"NA19171",-0.114382872334873,0.13447792178385
"NA19172",0.0467378662440688,-0.0452048871075906
"NA19173",-0.030318968950768,0.0426181205063294
"NA19192",-0.010183845531928,-0.022089778367842
"NA19193",0.114486225757619,0.0513706890204733
"NA19194",0.0484217918733711,0.0155085613181352
"NA19200",0.0394083381553927,-0.0412105421310074
"NA19201",0.269100105141576,-0.0262189104297131
"NA19202",0.152322142700656,-0.0377205766516447
"NA19203",0.0160912833262713,0.112992575426685
"NA19204",-0.19235619876075,0.201823750995564
"NA19205",-0.0844788136919313,0.146222545123208
"NA19206",0.0168047032497792,0.0125524111656061
"NA19207",-0.138239360053595,0.0276519465159871
"NA19208",-0.0592627812190213,0.0187547018859849
"NA19209",-0.167072924510899,-0.00452603385301759
"NA19210",-0.0375170410438647,0.0996715563654172
"NA19211",-0.105210013468968,0.0425158002635569
"NA19221",0.0489079266761622,0.0357746473201683
"NA19222",0.109786294435538,-0.0251247871537268
"NA19223",-0.010106548270817,0.098255861094934
"NA19238",-0.167961505930776,0.0807045627247735
"NA19239",-0.210986806644777,0.00150713715660806
"NA19240",-0.18514893467279,0.0384522799256081
